Primary Key,Order Date,Product Category,Complaint,Cause,Correction,Root Cause,Symptom Condition 1,Symptom Component 1,Symptom Condition 2,Symptom Component 2,Symptom Condition 3,Symptom Component 3,Fix Condition 1,Fix Component 1,Fix Condition 2,Fix Component 2,Fix Condition 3,Fix Component 3
SO0026296-1,3/8/2023,SPRAYS,"Visibly notice fasteners under cab on p clips and air ducting left loose	not tightened at factory.",Not tighten at factory.,"GO THROUGH AND RE-TIGHTEN ALL P CLIPS, NUTS, AND BOLTS AS NECESSARYALSO FOUND TWO BULKHEAD CONNECTORS, NOT FULLY LOCKED LEFT REAR OF MACHINE AND ONE ON RIGHT BOOMRUNNING TESTS NO FAULT",Not Tightened,Loose,Cab P Clip,Loose,Left-Air Duct,Loose,Bulkhead Connector,Retightened,Cab P Clip,Retightened,Left Air Duct,Retightened,Bulkhead Connector
SO0026385-1,3/8/2023,SPRAYS,Fuel door will not stay open,gas strut not installed or anywhere on machine,FOUND GAS STRUT NOT INSTALLED OR ANYWHERE ON MACHINE.INSTALL GAS STRUT.RUN AND TEST,Not Installed,Won't stay open,Fuel Door,,,,,Installed,Gas Strut,,,,
SO0026385-11,3/8/2023,SPRAYS,"Compressor pressure line, braided steel, crushed","Compressor pressure line, braided steel, crushed when deliverd.",DRAIN AIR FROM SYSTEM.REMOVE ASSOCIATED P CLIPS.REMOVE AND REPLACE BRAIDED STEEL COMPRESSOR LINE.RUNNING TEST.,Not Mentioned,Crushed,Compressor Pressure Line,,,,,Replaced,Braided Steel,,,,
SO0028352-1,3/8/2023,SPRAYS,Oil running from bottom of machine,"oil return under machine swivel fitting left loose at factory	",OIL RETURN UNDER MACHINE SWIVEL FITTING LEFT LOOSE AT FACTORY.RETORQUE FITTING AND TEST RUN.FITTINGS STILL LEAKING?REMOVE HOSE FROM BLOCK.REPLACE O-RING ON BOSSE AND REINSTALL.TOP OFF HYDRAULIC RESERVOIR.RUN AND TEST,Loosened,Oil Running,Not Mentioned,,,,,Topped Off,O-Ring,,,,
SO0028770-1,3/8/2023,SPRAYS,missing vector & intrip unlocks.,missing vector & intrip unlocks were not installed,INSTALLED MISSING UNLOCKS RAN AND TESTED.,Not Included,Missing,Vector,,,,,Installed,Unlocks,,,,
SO0029596-1,3/8/2023,SPRAYS,oil dripping from coupler of return line to product pump,Coupler was leaking.,REMOVE COUPLER FREE UP WITH HAMMER AND SOCKET IN ORDER TO CONTINUE TEST RUN OF MACHINE.ORDER PARTS DEALER TRANSFERRED DUE TO BACKORDER.REMOVE AND REPLACE COUPLER END RUN AND TEST,Out of Fitting,Oil Dripping,Coupler,,,,,Cleaned Out,Coupler,,,,
SO0058466-2,5/5/2023,SPRAYS,components missing on boom to mount smv sign,not included from factory,SERVICE CALL 7 MILES.INSTALL MISSING BRACKETS AND BOLTS AND INSTALL SMV SIGN.,Not Included,Missing,Brackets,,,,,Installed,SMV Sign,,,,
SO0058466-3,5/16/2023,SPRAYS,oil dripping from bottom of machine pictures included,o-ring on male quick connect sticking out of fitting,SERVICE CALL14 MILES.O-RING ON MALE QUICK CONNECT STICKING OUT OF FITTING.PARTS DOES NOT DEPICT THIS FAST COUPLING.DISASSEMBLE AND MATCH O-RING.TOP OFF HYDRAULIC RESERVOIR.RUNNING TEST.,Loosened,Oil Dripping,O-Ring,,,,,Tightened,O-Ring,,,,
SO0058466-4,5/16/2023,SPRAYS,oil leak,blown o-ring,LOADED TRUCK AND DROVE OUT TO SPRAYER GOT TO SPRAYER AND STARTED LOOKING FOR LEAK FOUND ORING PEICE STICKING OUT OF FITTING UNCOUPLED HOSE FROM FITTING REMOVED FITTING FROM ADAPTER FOUND DAMAGED ORING LOOKED UP ORING PART NUMBERMATCHED ORING FROM KIT ON T,Blown,Oil Leak,O-Ring,,,,,Replaced,O-Ring,,,,
SO0058466-5,5/16/2023,SPRAYS,"harness broke	","poor material in harness	",I WAS OUT TO FARM AND I REPLACED THE NCV HARNESS ON THE LH BOOM BETWEEN THE OUTER BOOM AND MID BOOM FOLD BECAUSE THE BULK HEAD GOT TORE. I UNHOOKED THE NCVS ON THAT HARNESS AND CUT THE ZIPTIES I REMOVED THE OLD HARNESS AND INSTALLED NEW HARNESS. I ZIP TIE,Poor Material,Broke,Harness,,,,,Repaired,Harness,,,,
SO0058668-1,5/31/2023,SPRAYS,"rinse tank leak	","sight glass tube is leaking	","TOTAL MILES: 160MILEAGE IN: 181342MILEAGE OUT: 181502LOCATION: 1701 US HWY 14 W HURON SD TO 43.76885, -98.97190DRIVE TIME TO UNITINSPECTED SIGHT TUBE FOR LEAK.TUBE IS LEAKING OUT OF CONNECTIONS.RELEASED OLD TUBE FROM TOP AND BOTTOM CONNECTION.CLEANED OUT",Leaking,Leak,Sight Glass Tube,,,,,Tightened,Not Mentioned,,,,
SO0058674-1,5/31/2023,SPRAYS,fuel sender open,failed sending unit,BEGAN TROUBLESHOOTING FUEL SENDER CODE. PULLED CODES AND FOLLOWED TROUBLESHOOTING AS PER ETIM. REMOVED HOOD FROM MACHINE. CHECKED VOLTAGES AND WIRES. FOUND THEM TO BE GOOD. REMOVED AND INSPECTED CONNECTORS TO VERIFY PINS WERE ALL SEATED ANDNOT DAMAGED. WI,Failed Sending,Open,Fuel Sender,,,,,Repaired,NCV Harness,,,,
SO0058674-2,5/31/2023,SPRAYS,hydraulic leak,no o-ring in bottom oil cooler fitting,BEGAN TROUBLESHOOTING OIL LEAK. FOUND IT WAS DRIPPING DOWN RIGHT SIDE FRAME RAIL UNDER ENGINE. FOLLOWED TRIAL UP TO COOLERS. FOUND FITTING ON BOTTOM OF OIL COOLER WAS LEAKING. REMOVED FITTING AND FOUND THERE WAS NO ORING IN IT. INSTALLED ORING. TIGHTENED,No Oring,Hydraulic Leak,Boom,,,,,Installed,Tube,,,,
SO0058727-15,6/19/2023,SPRAYS,hydraulic leak,"factory did not tighten hose	","SERVICE CALLSTART MACHINE TO FIND LEAKING HOSE.FOUND HOSE PART NUMBER 90391635 WAS LEAKING, DUE TO POOR QUALITY CONTROL AT FACTORY, NOT TIGHTENED HOSES.REPLACED ORING FOR HOSE 90391635.FILLED SYSTEM WITH 10 GALLONS OF OIL.RANMACHINE TO BE SURE IT DID NOT",Not Tighten,Hydraulic Leak,Hose,,,,,Replaced,O-Ring,,,,
SO0058727-2,6/5/2023,SPRAYS,"boom fold uneven and hitting cradle	",sensors out of range,Kevin Hammer of CNH was here to go over the PDI of the machine. He was here to help diagnose this issue of the booms hitting the top of the cradle when folding in and the uneven unfold. Tech checked each of the 6 sensors and they are all out of range. Tec,Out of Range,Fold Uneven,Auto Boom,,,,,Adjusted,Sensors,,,,
SO0058727-5,6/9/2023,SPRAYS,customer is getting fault,lubricant used on o-ring had drip down,REMOVE INTAKE HUMIDITY SENSOR.LUBRICANT USED ON O-RING HAD DRIP DOWN CONTAMINATING SENSOR. INSTALL NEW SENSOR.RUNNING TEST MACHINE VERIFY OPERATION.,Lubricant Drift Down,Getting Fault Code,Sensor,,,,,Replaced,Sensor,,,,
SO0058727-6,6/9/2023,SPRAYS,auto boom won't work,faulty autboom sensor,"TOTAL MILES: 163MILEAGE OUT: 17263MILEAGE IN: 17426LOCATION: 1701 US HWY 14 W HURON, SD TO 43.76885, -98.97190DROVE TO CUSTOMER LOCATIONINSPECTED AUTOBOOM SENSORS ON EACH BOOM.TURNED KEY ON AND LOOKED FOR POWERUP.RIGHT-HAND SENSOR DOES NOT LIGHT UPUNFOLDE",Faulty,Not Working,Auto Boom,,,,,Replaced,Sensor,,,,
SO0058796-1,7/13/2023,SPRAYS,"def error codes	",internal issue in supply module,I WENT OUT TO FIELD AND I HOOKED UP EST AND FOUND ERROR CODES 5435.05  6819.31 5246.00 AND5246.15 I CLEARED THE CODES AND RESET THE COUNTER. I DROVE THE SPRAYER DOWN THE ROAD AND THE 5435.05 CAME BACK. I PUT THD CASE 107932568. I CHECKED THE HARNESS AT TH,Internal Issue,Error Codes,Bulkhead Connector,,,,,Troubleshot,Harness,,,,
SO0058796-4,7/17/2023,BALER,Massive product leak under machine,"transducer was only screwed in a thread	","FOUND ELBOW FITTING FOR PUMP. TRANSDUCER WAS ONLY SCREWED IN A THREAD, RESULTING IN BROKEN ELBOW AND PULLING THREAD OUT OF PUMP HOUSING.REPAIR AND RE-TAP THREADS IN PUMP HOUSING.INSTALL PIPE FITTING UNTIL NEW PART ARRIVED.SECOND TRIPREMOVE AND REPLACE ELB",Screwed in Thread,Product Leak,Transducer,,,,,Repaired,Pipe Fitting,,,,
SO0058796-4,7/17/2023,BALER,Condenser loose.,Faulty bolts in bracket,Drove machine into shop. Found that the condenser bracket had broken. Hook ac machine to unit. Recover ac system. Remove condenser/bracket. Went to install new condenser/bracket and found it was wrong. Customer needed machine. Tapped new larger threads in,Faulty,Loose,Bolts,,,,,Replaced,Bracket,,,,
